±§¡æ,±‚∞£,Ω√¿Â¿ß«Ë¡ˆºˆ
∆‰∑Œ∏Ù∏Æ∫Íµß,2020-03-01,56.45125236
∆‰∑Œ∏Ù∏Æ∫Íµß,2020-04-01,68.54547217
∆‰∑Œ∏Ù∏Æ∫Íµß,2020-05-01,82.77225654
∆‰∑Œ∏Ù∏Æ∫Íµß,2020-06-01,80.72141186
∆‰∑Œ∏Ù∏Æ∫Íµß,2020-07-01,85.01516895
∆‰∑Œ∏Ù∏Æ∫Íµß,2020-08-01,89.11520922
∆‰∑Œ∏Ù∏Æ∫Íµß,2020-09-01,86.16418943
∆‰∑Œ∏Ù∏Æ∫Íµß,2020-10-01,79.92794724
∆‰∑Œ∏Ù∏Æ∫Íµß,2020-11-01,78.32503881
∆‰∑Œ∏Ù∏Æ∫Íµß,2020-12-01,70.7783156
∆‰∑Œ∏Ù∏Æ∫Íµß,2021-01-01,66.90179539
∆‰∑Œ∏Ù∏Æ∫Íµß,2021-02-01,48.66787822
∆‰∑Œ∏Ù∏Æ∫Íµß,2021-03-01,30.31183187
∆‰∑Œ∏Ù∏Æ∫Íµß,2021-04-01,25.86946248
∆‰∑Œ∏Ù∏Æ∫Íµß,2021-05-01,32.02805651
∆‰∑Œ∏Ù∏Æ∫Íµß,2021-06-01,11.30602623
∆‰∑Œ∏Ù∏Æ∫Íµß,2021-07-01,2.206248546
∆‰∑Œ∏Ù∏Æ∫Íµß,2021-08-01,2.035399525
∆‰∑Œ∏Ù∏Æ∫Íµß,2021-09-01,2.087142765
∆‰∑Œ∏Ù∏Æ∫Íµß,2021-10-01,2.083361065
∆‰∑Œ∏Ù∏Æ∫Íµß,2021-11-01,1.856512353
∆‰∑Œ∏Ù∏Æ∫Íµß,2021-12-01,3.149380061
∆‰∑Œ∏Ù∏Æ∫Íµß,2022-01-01,3.481995491
∆‰∑Œ∏Ù∏Æ∫Íµß,2022-02-01,2.99867125
∆‰∑Œ∏Ù∏Æ∫Íµß,2022-03-01,3.237907603
∆‰∑Œ∏Ù∏Æ∫Íµß,2022-04-01,2.245350396
∆‰∑Œ∏Ù∏Æ∫Íµß,2022-05-01,2.387861893
∆‰∑Œ∏Ù∏Æ∫Íµß,2022-06-01,2.749144775
∆‰∑Œ∏Ù∏Æ∫Íµß,2022-07-01,3.683860265
∆‰∑Œ∏Ù∏Æ∫Íµß,2022-08-01,6.536317342
∆‰∑Œ∏Ù∏Æ∫Íµß,2022-09-01,14.05312546
∆‰∑Œ∏Ù∏Æ∫Íµß,2022-10-01,7.185104331
∆‰∑Œ∏Ù∏Æ∫Íµß,2022-11-01,4.369449206
∆‰∑Œ∏Ù∏Æ∫Íµß,2022-12-01,4.349154014
∆‰∑Œ∏Ù∏Æ∫Íµß,2023-01-01,2.62385188
∆‰∑Œ∏Ù∏Æ∫Íµß,2023-02-01,2.23616394
∆‰∑Œ∏Ù∏Æ∫Íµß,2023-03-01,2.720734593
∆‰∑Œ∏Ù∏Æ∫Íµß,2023-04-01,2.630140336
∆‰∑Œ∏Ù∏Æ∫Íµß,2023-05-01,8.608237291
∆‰∑Œ∏Ù∏Æ∫Íµß,2023-06-01,10.13277265
∆‰∑Œ∏Ù∏Æ∫Íµß,2023-07-01,16.37409908
∆‰∑Œ∏Ù∏Æ∫Íµß,2023-08-01,16.1112061
∆‰∑Œ∏Ù∏Æ∫Íµß,2023-09-01,10.66529045
∆‰∑Œ∏Ù∏Æ∫Íµß,2023-10-01,11.60368775
∆‰∑Œ∏Ù∏Æ∫Íµß,2023-11-01,20.48572085
∆‰∑Œ∏Ù∏Æ∫Íµß,2023-12-01,31.42468601
∆‰∑Œ∏Ù∏Æ∫Íµß,2024-01-01,29.77872873
∆‰∑Œ∏Ù∏Æ∫Íµß,2024-02-01,34.4960604
∆‰∑Œ∏Ù∏Æ∫Íµß,2024-03-01,36.7293712
∆‰∑Œ∏Ù∏Æ∫Íµß,2024-04-01,32.0044621
∆‰∑Œ∏Ù∏Æ∫Íµß,2024-05-01,36.28100939
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
